NO,LICENCE NUMBER,NAME OF PHARMACY,TYPE,LOCATION,MMDA,REGION
690,PC/WR/WR/0037M,CHANECK PHARMACY,Wholesale/Retail,TYPE 890 AGGREY STREET PWD QUARTERS TAKORADI,SEKONDI-TAKORADI,Western
691,PC/WR/WR/0104D,CHANECK PHARMACY,Wholesale/Retail,"H/NO. 131,  WESTLINE ANAJI SEKONDI",SEKONDI-TAKORADI,Western
692,PC/NR/WR/0128M,CHANTIWUNI CHEMIST,Wholesale/Retail,H/NO. B 345 HOSPITAL ROAD - NALERIGU,EAST MAMPRUSI,Northern
693,PC/GR/R/0144B,CHARA PHARMACY LTD,Retail,H/NO. C42/8 - NEW TOWN ACCRA,AMA,Greater Accra
694,PC/GR/R/0027C,CHARA PHARMACY LTD.,Retail,"H/NO. 292, MOTORWAY EXTENSION - KWASHIEMAN",AMA,Greater Accra
695,PC/AS/R/0131N,CHARGET PHARMACY,Retail,INDEPENDENCE HALL - KNUST KUMASI,KMA,Ashanti
696,PC/AS/R/0361J,CHARGET PHARMACY LTD. (ANNE,R)etail,"GUSS HOSTEL, BRUNEL - KNUST KUMASI",KMA,Ashanti
697,PC/AS/R/00055,"CHARGET PHARMACY LTD.,",Retail,"PLOT 10, BLOCK D - ANGOLA JUNCTION KUMASI",KMA,Ashanti
698,PC/GR/R/0419H,CHARIS PHARMA LTD.,Retail,H/No. 10 KANEWU ROAD ASHIAMAN ADJEI KOJO,TMA,Greater Accra
699,PC/GR/R/0428K,CHARITY PHARMACY LTD,Retail,H/NO. 3 DARKUMAN ROAD - NYAMEKYE,GA CENTRAL,Greater Accra
700,PC/GR/R/00428,CHARLISA PHARMACY,Retail,"PLOT NO 59/GA 462/294 ASHALEY BOTWE ROAD -
OBUDANKADI",ADENTAN,Greater Accra
701,PC/AS/R/00248,CHARMAR PHARMACY LTD,Retail,PLOT  AP 3 APUTUOGYA LAKE ROAD - APUTUOGYA,BOSOMTWE,Ashanti
702,PC/AS/R/0025F,CHARMAR PHARMACY LTD.,Retail,"LUB 6, BLK A, ADJ. POLICE QTRS, MARKET RD,  JACHIE",BOSOMTWE,Ashanti
703,PC/GR/R/00941,CHARPS CHEMISTS,Retail,"H/NO. G 174/4, SOWA GBOVILO STR, NEAR AUNTIE OTSOO
CLINIC, LA",LA DEDE-KOTOPON,Greater Accra
704,PC/GR/R/00024,CHASCA PHARMACY,Retail,H/NO. AB1 REDEMPTION STREET COMMUNITY 9 TEMA,TMA,Greater Accra
705,PC/GR/R/0359P,CHATKUKUS PHARMACY LTD,Retail,GL-012-0749 LOMO ADAWU STREET - LABADI,LA NKWANTANANG-MADINA,Greater Accra
706,PC/GR/R/0002E,CHEMICANI COMPANY LTD.,Retail,H/NO. 31/2 - APLAKU NEW TOWN WEIJA,GA SOUTH,Greater Accra
707,PC/GR/R/0331P,CHEN'S PHARMACY LTD,Retail,H/NO. A303/4 AYOKI TEIKO STREET - LATERBIOKOSHIE,AMA,Greater Accra
708,PC/GR/WR/0077M,CHF OASIS PHARMACY LTD,Wholesale/Retail,H/NO. 3 MAWUENA STREET - DOME PILLAR 2,GA EAST,Greater Accra
709,PC/ER/R/0126E,CHOCHO PHARMACY LTD.,Retail,"H/NO. E-27, MOWIRE HIGHWAYS  KWABENG",ATIWA,Eastern
710,PC/GR/R/0128A,CHRISMAN PHARMACY,Retail,H/NO. KLNGA/A 16 - KLAGON TEMA,TMA,Greater Accra
711,PC/GR/R/0010B,CHRISMAN PHARMACY (ADJEI KO,ORetail,H/NO. STKS A/32 - KING SOLOMON-ADJEI KOJO TEMA,TMA,Greater Accra
712,PC/GR/R/00332,CHRISMOR PHARMACY LIMITED,Retail,UNN. SHOP DODOWA  ROAD AFIENYA TEMA,NINGO PRAMPRAM,Greater Accra
713,PC/ER/WR/0600K,CHRISPHARMA LTD,Wholesale/Retail,"H/NO. C 58 MAIN ROAD OPPOSITE MAIN TAXI STATION
NKATESO-ANYINAM",ATIWA,Eastern
714,PC/ER/WR/0157J,CHRISPHARMA LTD,Wholesale/Retail,123 BOADUA-AKWATIA BOUDUA AKWATIA,DENKYEMBOUR,Eastern
715,PC/ER/WR/00049,CHRISPHARMA LTD.,Wholesale/Retail,"H/NO. TC/80 , NEW TAFO",EAST AKIM,Eastern
716,PC/ER/WR/0043F,CHRISPHARMA LTD.,Wholesale/Retail,"H/NO. NK 12B9, SDA JUNCTION - - NSUKWAO",NEW-JUABENG,Eastern
717,PC/GR/R/0052L,CHRIST CHOICE PHARMACY LTD,Retail,"H/NO. OM/1 WINNEBA KASOA HIGHWAY - AMANFROM
OFFICIAL TOWN",GA SOUTH,Greater Accra
718,PC/AS/R/0447K,CHRISTAL A & B CHEMIST LTD,Retail,H/NO. 2 EJISU-KONONGO HIGHWAY - EJISU,EJISU-JUABENG,Ashanti
719,PC/AS/WR/00077,CHRISTAL A & B CHEMIST LTD.,Wholesale/Retail,"H/NO. 2/3,  METHODIST BLOCK.B - SUBIN VALLEY KUMASI",KMA,Ashanti
720,PC/AS/WR/0020D,CHRISTANCO PHARMACY,Wholesale/Retail,"AJ 14 KUMASI-TECHIMAN STREET ABOFOUR JUNCTION
ABOFOUR",OFFINSO,Ashanti
721,PC/GR/WR/0073J,CHRISTIAN MEDICAL SERVICES,Wholesale/Retail,"10 SOUTH TAFO, BLOCK E3 - - TESHIE",LEDZOKUKU-KROWOR,Greater Accra
722,PC/GR/R/0139P,CHRISTODIA PHARMACY LTD,Retail,GD-161-3696 BOUNDARY ROAD OGBOJO EAST LEGON,AMA,Greater Accra
723,PC/GR/R/00253,CIMA PHARMACEUTICAL LTD.,Retail,"UNN. HOUSE,COMMUNITY 18, LASHIBI, TEMA",TMA,Greater Accra
724,PC/AS/R/0071A,CINDIKE PHARMACY,Retail,PLOT NO. 55 - AMANFROM AMANFROM,ATWIMA NWABIAGYA,Ashanti
725,PC/AS/WR/0055E,CINDIKE PHARMACY LTD.(ASAMA,WG)holesale/Retail,"PLOT 6, BLOCK E - - NKETIA",ATWIMA NWABIAGYA,Ashanti
726,PC/BA/WR/0093A,CISANT PHARMACY,Wholesale/Retail,"H/NO. SECT. 2, BLOCK D, NO. 70B ADARS STREET OLD
MARKET SQUARE KINTAMPO",KINTAMPO NORTH,Brong Ahafo
728,PC/GR/R/0258M,CITA BOAM PHARMACY LTD,Retail,GW-0188-5727 - - DUNYO-MAYERA,GA WEST,Greater Accra
729,PC/GR/WR/0226J,CITAACO PHARMACY LTD,Wholesale/Retail,B 405/3 DERBY AVENUE ARENA ACCRA,AMA,Greater Accra
730,PC/GR/R/00029,CITADEL CHEMISTS (GH) LTD.,Retail,NO.1 EBENEZER STREET MAMPROBI ACCRA,AMA,Greater Accra
731,PC/GR/R/00028,CITADEL CHEMISTS (GH) LTD.,Retail,H/NO. A 1073/1 GLOVER ADDO STREET KORLE-BU ACCRA,AMA,Greater Accra
732,PC/VR/R/0058F,CITI PHARMACY,Retail,"H/NO. SECT 10/2014/75, SAFARI MOTORS HOWUSU STR. HO-
DOME HO-DOME",HO,Volta
733,PC/GR/WR/00119,CITIZEN PHARMACY,Wholesale/Retail,"HNO.1 GHANA FLAG, NEXT TO REHOBOTH ESTATES OFF
ABURI ROAD ACCRA",AMA,Greater Accra
734,PC/GR/R/0373L,CITY CENTRAL PHARMACY,Retail,GN-1019-7772 - GOIL SERVICE STATION AFIENYA,NINGO PRAMPRAM,Greater Accra
735,PC/GR/R/0380L,CITY CENTRAL PHARMACY LIMITE,Retail,MELCOM SHOPPING CENTRE AFIENYA HIGHWAY - MATEHEKO,NINGO PRAMPRAM,Greater Accra
736,PC/GR/R/0216K,CITYCARE PHARMACY LTD,Retail,SHOP NO. 9 UPSA ROAD PRESTIGE HOTEL MADINA,LA NKWANTANANG-MADINA,Greater Accra
737,PC/GR/R/0158J,CLAS MOK CHEMIST LTD,Retail,"H/NO. 177 J. E. A. MILLS BY PASS OLD BARTIANOR APLAKU-
ISRAEL",GA SOUTH,Greater Accra
738,PC/CR/W/00001,CLASSFAM (GH) LTD.,Wholesale,H/NO. N/S 9/10 MANDELA ROAD - AGONA SWEDRU,AGONA EAST,Central
739,PC/CR/W/00004,CLASSFAM PHARMACY (KASOA B,.W)holesale,BAWJIASE ROAD - NEW MARKET KASOA,AWUTU SENYA EAST,Central
740,PC/AS/R/0163N,CLEMED PHARMACY LTD,Retail,MF 103 OLD ROAD - MFENSI,ATWIMA NWABIAGYA,Ashanti
741,PC/VR/WR/0235P,CLEVACARE PHARMACY LTD,Wholesale/Retail,H/NO. PAA/C048 HOSPITAL ROAD - -,KADJEBI,Volta
742,PC/GR/R/00594,CLIFFCO PHARMACY,Retail,H/NO. 16/3 ELICAN STREET EAST LEGON ACCRA,AMA,Greater Accra
743,PC/ER/WR/00017,CLIMAX PHARMACY LTD.,Wholesale/Retail,"NEAR KUMASI STN, - NKAWKAW CENTRAL, NKAWKAW",KWAHU WEST,Eastern
744,PC/GR/R/0205J,CLINICPHARMA LIMITED,Retail,H/NO 92 ASHARLEY BOTWE ROAD NMAI DZORN NMAI DZORN,ADENTAN,Greater Accra
745,PC/GR/R/00408,CLINISERVE PHARMACY,Retail,NORTH LEGON MOTORWAY - ACCRA LEGON,AMA,Greater Accra
746,PC/WR/WR/0357H,CNF PHARMACY LIMITED,Wholesale/Retail,R. S. BLAY LINK - TAKORADI,SEKONDI-TAKORADI,Western
747,PC/GR/R/00716,COBEST PHARMACY,Retail,HNO. 130/14 LAST STOP MPOASE DANSOMAN,AMA,Greater Accra
748,PC/GR/R/00529,COBEST PHARMACY LTD.-,Retail,"H/NO. B/40/13, NSAMENAMA LINE, - DANSOMAN",AMA,Greater Accra
749,PC/GR/R/0001J,COCOBEACH ROAD PHARMACY,Retail,"LINARKS BUILDING H/No. J18/9 COCOABEACH ROAD
NUNGUA TESHIE-NUNGUA ESTATES NUNGUA ACCRA",LEDZOKUKU-KROWOR,Greater Accra
750,PC/CR/WR/0197N,COLE PHARMACY LTD,Wholesale/Retail,"H/NO. 1/120,  BUDUMBURAM",GOMOA EAST,Central
751,PC/GR/R/00656,COLLIERS PHARMACY,Retail,H/NO. B/005/17 - SOUTH ODORKOR ACCRA,AMA,Greater Accra
752,PC/AS/R/0047C,COMBAK CHEMIST LTD.,Retail,"STORE NO. A5, - AYEDUASE NEW SITE KUMASI",KMA,Ashanti
753,PC/GR/W/0624L,COMFORT CARE PHARMACEUTIC,LWS hLoTlDesale,H/NO. RP 38B SITA A COMMUNITY 3 TEMA,TMA,Greater Accra
754,PC/GR/WR/00250,COMFORT DRUGS INT. CO. LTD.,Wholesale/Retail,"H/NO. 4,CSC - PARADISE ESTATES DOME",GA EAST,Greater Accra
755,PC/GR/R/0455L,COMFORT PHARMACY LTD,Retail,"H/NO. 286 ADJEI KOJO ROAD GOODNESS SERVICE STATION
SANTEO",KPONE KATAMANSO,Greater Accra
756,PC/GR/R/0138G,COMMUNITY FIVE CHEMISTS,Retail,"H/NO. V15, COMM 5 OPP. GUINNESS DEPOT - TEMA",TMA,Greater Accra
757,PC/AS/W/00089,CONCEPT MEDICAL SUPPLIES LTD,Wholesale,H/NO. 35 ASANTI NEW TOWN - KUMASI,KMA,Ashanti
758,PC/AS/R/0008E,CONSTANT PHARMACY (APRADE,ReAtNaiClH),"PLOT NO 2, BLOCK M  BEBRE ODUM APRADE",EJISU-JUABENG,Ashanti
759,PC/AS/R/0134L,CORPUS CHRISTI PHARMACY LTD,Retail,"PLOT 24, BLOCK 24 SOFO ABODWESE STREET - NEW TAFO",KMA,Ashanti
760,PC/GR/R/0430K,COSANDY PHARMACY,Retail,"H/NO. 205 PALM AVENUE, DOME PILLAR 2",GA EAST,Greater Accra
761,PC/AS/R/0068C,COSMAN PHARMACY,Retail,"MARKET BAY 3, NO. 5 & 7, ADUMANU KUMASI",KMA,Ashanti
762,PC/AS/WR/00098,COSTA PHARMACY,Wholesale/Retail,SHOP NO. K.J. 3 - KEJETIA KUMASI,KMA,Ashanti
763,PC/AS/WR/0131H,COSTA PHARMACY ( KEJETIA MAR,WETh oBlReAsaNleC/HR e) tail,"H/NO. SHOP NO. K.S.M. 2, KEJETIA, KUMASI  SHOPPING MALL
STREET KEJETIA  KUMASI",KMA,Ashanti
764,PC/GR/R/0360J,COUNTRY MEDICAL & PHARMACY,RLIeMtaITilED,GA-579-9509 AWOSHIE TRAFFIC POWER FUEL ANYAA,GA CENTRAL,Greater Accra
765,PC/GR/W/0459K,CRESCENT CHEMIST,Wholesale,H/NO. B164E/21 OSOUN STREET - NEW FADAMA,GA CENTRAL,Greater Accra
766,PC/GR/R/00174,CRESCENT CHEMISTS,Retail,H/NO. B106/11 - DARKUMAN ACCRA,AMA,Greater Accra
767,PC/GR/R/0492K,CRISS PHARMACY,Retail,"H/NO. AJ 1, COMM. 11 - COMMUNITY 11 TEMA",TMA,Greater Accra
768,PC/GR/R/0029G,CRISS PHARMACY COMPANY,Retail,"H/NO.SAK -D/11, OLD SAKUMONO RD, SAKUMONO VILLAGE,
TEMA",TMA,Greater Accra
769,PC/GR/R/0106B,CRISS PHARMACY LTD.,Retail,H/NO. 0/25 - COMMUNITY 7 TEMA,TMA,Greater Accra
770,PC/GR/R/00540,CRISTALIFE PHARMACY,Retail,"OPPOSITE K MIREKU IRON RODS OFF SPINTEX ROAD COASTAL
ESTATES ACCRA",TMA,Greater Accra
771,PC/AS/R/00086,CROB PHARMACY,Retail,H/NO. E.45 - SOUTH SUNTRESO KUMASI,KMA,Ashanti
772,PC/GR/IW/0054D,CROIRE PHARMACY LTD,Importing Wholes,NleO 9 BOUNDARY ROAD SPINTEX ROAD BAATSONA,TMA,Greater Accra
773,PC/GR/WR/00032,CROWN PHARMACY,Wholesale/Retail,H/NO.B17/3 14 ADAMA STREET LATERBIOKORSHIE ACCRA,AMA,Greater Accra
774,PC/GR/R/0054J,CRUIZ PHARMACY,Retail,- ASHAIMAN ROAD HEAVEN NTI JUNCTION SANTOE,ASHIAMAN,Greater Accra
775,PC/GR/R/0374P,CRYSTAL CHEMISTS LTD,Retail,H/NO. 103 10TH LANE ONYENASE STREET NEW GBAWE,GA SOUTH,Greater Accra
776,PC/GR/R/0106A,CRYSTAL-TAB PHARMACY,Retail,H/NO. 1A - DOME CAMBODIA,GA EAST,Greater Accra
777,PC/GR/R/0303J,CSL PHARMACY LIMITED,Retail,"UNN.HSE, PEACE BE PEACE-BE STREET PEACE BE(AFTER
COMMUNITY 25) NEW DAWHENYA",NINGO PRAMPRAM,Greater Accra
778,PC/GR/WR/0071M,CURE AID CHEMIST LIMITED,Wholesale/Retail,GM-125-1351 ABURI ROAD - OYARIFA,ADENTAN,Greater Accra
779,PC/AS/R/0013H,CURE PHARMACY LTD,Retail,H/NO. 28 BLK 3 BLK E ASUOFUO,ATWIMA NWABIAGYA,Ashanti
780,PC/GR/R/0042N,CUREAID CHEMIST LTD,Retail,DG-172-7310 NMAI DZORN ROAD - ASHALEY BOTWE,ADENTAN,Greater Accra
781,PC/GR/R/0146F,CUREAID CHEMIST LTD,Retail,"H/NO. 19/2, ADENTA MAIN ROAD, - ADENTA",ADENTAN,Greater Accra
782,PC/GR/W/0130B,CURIST PHARMA LIMITED,Wholesale,H/NO. 1 MADINA NEW ROAD MADINA NEW ROAD MADINA,ADENTAN,Greater Accra
783,PC/GR/R/00260,CYNDEX PHARMACY,Retail,"PLOT NO. 136, WEIJA  APLAKU ACCRA",GA SOUTH,Greater Accra
784,PC/GR/R/0055D,D & G PHARMACY,Retail,"H/NO. PR/OL/02 GOIL FILLING STATION KPONG JUNCTION
KPONG",KPONE KATAMANSO,Greater Accra
785,PC/GR/R/0044J,D & G PHARMACY LIMITED,Retail,"H/NO. P/R/AG/05 AFLAO ROAD,  LITTLE LONDON DAWHENYA",NINGO PRAMPRAM,Greater Accra
786,PC/GR/R/0017G,D & G PHARMACY LTD. (MIOTSO,ReAtNaCilH),"H/NO. PR/M/OO1, MIOTSO- PRAMPRAM RD, CITY ESCAPE
HOTEL, MIOTSO",NINGO PRAMPRAM,Greater Accra
787,PC/GR/R/0222N,D & H PHARMACY LIMITED,Retail,H/NO. B61 JONKORI ROAD - LATERBIOKOSHIE,GA SOUTH,Greater Accra
788,PC/AS/R/00120,D K D PHARMACY,Retail,H/NO. N.T.E.R 112 - FANTE NEWTOWN KUMASI,KMA,Ashanti
789,PC/GR/R/0251M,D. B. ROYAL PHARMACY LTD,Retail,GA-439-0896 PAA WILLIE STREET RUSSIA DANSOMAN,GA CENTRAL,Greater Accra
790,PC/ER/WR/0339K,D. C. PHARMACY LTD,Wholesale/Retail,H/NO. AD 1 AKOSOMBO ROAD - ATIMPOKU,ASUOGYAMAN,Eastern
791,PC/GR/R/0073M,D818 CHEMIST LIMITED,Retail,GZ-126-23635 MANET STRETCH - TESHIE AGBLEZAA,LA NKWANTANANG-MADINA,Greater Accra
792,PC/AS/R/0020B,DA-K PHARMACY LTD.,Retail,H/NO. PR 62 PRAMSO - PRAMSO,BOSOMTWE,Ashanti
793,PC/AS/WR/00081,DAASEBERE PHARMACY LTD.,Wholesale/Retail,H/NO. NT.8 - FREE-TOWN KONONGO,ASANTE AKIM CENTRAL,Ashanti
794,PC/GR/R/0136G,DABY'S PHARMACY LTD.,Retail,"H/NO. B259/22, MUKOSE STREET, - NORTH KANESHIE",AMA,Greater Accra
795,PC/AS/WR/0022I,DADMUM PHARMACY,Wholesale/Retail,H/NO. KP 5 KWAPRA PALACE KRONUM KUMASI,KMA,Ashanti
796,PC/AS/R/00213,DADMUM PHARMACY LTD.,Retail,"H/NO. PLOT 3 BLOCK U KENTENKRONO STREET, OPPOSITE JSS
MAAKRO KUMASI",KMA,Ashanti
797,PC/AS/R/0060B,DADY COS PHARMACY,Retail,"H/NO. 6,  NKUKUA WIOSO, BUOHO",OBUASI,Ashanti
798,PC/GR/R/0106E,DAELYN  PHARMACY LTD,Retail,"PLOT NO. 1 TAIFA -BURKINA ROAD, ATOMIC DOWN
KWABENYA",GA EAST,Greater Accra
799,PC/VR/R/0032P,DAGBENEVA PHARMACY LTD,Retail,H/NO. Z10/0/87 KPEYI STREET AKATSI JUNCTION ZIOPE,AGOTIME ZIOPE,Volta
800,PC/VR/WR/0005K,DAGBENEVA PHARMACY LTD,Wholesale/Retail,H/NO. VX-000-9483 AHO CRESCENT SHELL BLOCK AKATSI,AKATSI SOUTH,Volta
801,PC/AS/WR/0114J,DAILY HEALTH SERVICES,Wholesale/Retail,H/NO. KM 36 OLD BEKWAI ROAD KROFROM SIKOBAN,ATWIMA KWANWOMA,Ashanti
802,PC/GR/R/0614H,DAISY PHARMACY LTD,Retail,HNO. D178/2 HIGH STREET ABOLA ACCRA,AMA,Greater Accra
803,PC/GR/R/0534L,DAKAL PHARMACY LTD,Retail,"H/NO. SF 24, PRISONS ROAD - FRAFRAHA",ADENTAN,Greater Accra
804,PC/AS/R/00104,DAKMEN PHARMACY LTD.,Retail,H/NO. A.1 HAWKENS WORTH STREET ASAWASI KUMASI,KMA,Ashanti
805,PC/WR/WR/00003,DANALIZABETH CHEMISTS,Wholesale/Retail,H/NO. R51  MARKET CIRCLE TAKORADI,SEKONDI-TAKORADI,Western
806,PC/GR/R/0167G,DANKAMA PHARMACY,Retail,H/NO. 89  ADU LINK GLEFE STATION DANSOMAN,AMA,Greater Accra
807,PC/GR/R/0251K,DANLISA PHARMACY,Retail,H/NO. T310/1 - COCOA BEACH NUNGUA,LEDZOKUKU-KROWOR,Greater Accra
808,PC/NR/WR/0361L,DANLYD PHARMACY LTD,Wholesale/Retail,"PLOT 261, BLOCK C NANTO ROAD GBANYAMNI TAMALE",SAGNERIGU,Northern
809,PC/NR/W/0091C,DANNEX AYRTON STARWIN PLC D,WUhGo TleAsMalAeLE DEP,"HT/NO. 5L, FLAT A, - LAMESHEGU TAMALE",TAMALE,Northern
810,PC/WR/W/00021,DANNEX AYRTON STARWIN PLC.,Wholesale,H/NO. 39/8 LIBERATION ROAD - TAKORADI,SEKONDI-TAKORADI,Western
811,PC/GR/MW/00004,DANNEX LIMITED,Manufacturing W,o- l5e sDaAleDEBAN ROAD NORTH INDUSTRIAL AREA ACCRA,AMA,Greater Accra
812,PC/AS/WR/0259M,DANNIPHARMA LIMITED,Wholesale/Retail,H/NO. O.T.107 - ASHANTI NEWTOWN KUMASI,KMA,Ashanti
813,PC/AS/WR/0123L,DANNIPHARMA LIMITED,Wholesale/Retail,H/NO. MM 23 - MBROM KUMASI,KMA,Ashanti
814,PC/AS/R/0070C,DANNIPHARMA LTD. (SANTASI BR,RNeCtaHil),"PLOT 1A, CEDAR ROAD DANYAME KUMASI",KMA,Ashanti
815,PC/GR/R/0352H,DANPHARMA  LTD.,Retail,"H/NO. M 738/1, MADINA ESTATE MADINA ESTATE",LA NKWANTANANG-MADINA,Greater Accra
816,PC/VR/R/0005H,DANPONG PHARMACY,Retail,UNN. HOUSE MAIN MARKET AKPENAMAWU BANKOE,HO,Volta
817,PC/GR/WR/00254,DANPONG PHARMACY (GH) LTD.,Wholesale/Retail,PLOT NO. GA 5342 OFF SPINTEX ROAD BAATSONA ACCRA,TMA,Greater Accra
818,PC/GR/R/00316,DANPONG PHARMACY (GH) LTD.`,Retail,"H/NO. J 517/3, KANTAMANTO NUNGUA ACCRA",LEDZOKUKU-KROWOR,Greater Accra
820,PC/GR/WR/00035,DANS CHEMISTS LTD.,Wholesale/Retail,H/NO. C4/4 NSAWAM ROAD KOKOMLEMLE ACCRA,AMA,Greater Accra
821,PC/GR/R/0531L,DANVAL LIMITED,Retail,"GC-064-6867 - OPPOSITE D/A GOVERNMENT SCHOOL
OMANJOR",GA CENTRAL,Greater Accra
822,PC/AS/R/0087N,DAPSY PHARMACY LTD,Retail,"PLOT 7, BLOCK 75B - SANTASI NEW SITE KUMASI",KMA,Ashanti
823,PC/GR/W/00169,DAROSE PHARMACEUTICALS,Wholesale,NO. 5 NAA PLAZA OPP BONSU BROTHERS - ACCRA,AMA,Greater Accra
824,PC/GR/WR/00005,DAROSE PHARMACY LTD.,Wholesale/Retail,H/NO.23 KOJO THOMPSON ROAD MAKOLA ACCRA,AMA,Greater Accra
825,PC/UER/WR/00011,DARTAH PHARMACY LTD.,Wholesale/Retail,"HAMMER BUILDING NEAR NEW LORRY STATION
BOLGATANGA BOLGATANGA",BOLGATANGA,Upper East
826,PC/AS/R/0122J,DASCHEN PHARMACY LIMITED,Retail,PLOT 2 SAWMILL JUNCTION - MIM,ATWIMA NWABIAGYA,Ashanti
827,PC/GR/R/0536K,DASK CHEMIST LTD,Retail,UNN HSE HOSPITAL ROAD - AMASAMAN,GA WEST,Greater Accra
828,PC/GR/R/0247K,DASK CHEMIST LTD (ANNEX,Retail,UNN SHOP ACHIAMAN ROAD - AMASAMAN,GA WEST,Greater Accra
829,PC/GR/R/0189L,DASWAL PHARMACY LTD,Retail,GA-046-9148 ADJIKROBA STREET NEW TOWN ACCRA,AMA,Greater Accra
830,PC/UER/R/0001P,DATAM PHARMACY LTD,Retail,"UB-0030-2151 ASAMSOO AVENUE OPPOSITE BUKERE
PRIMARY SCHOOL BOLGATANGA",BOLGATANGA,Upper East
831,PC/AS/W/0123E,DATSMILE PHARMACY,Wholesale,"H/NO. EJ 54, BLK. E, ABANKRO ROAD EJISU EJISU",EJISU-JUABENG,Ashanti
832,PC/BA/R/0173P,DAV-MAKIDA PHARMACY LTD,Retail,H/NO. AZC 7 GRUMA LONE - AMANTIN,ATEBUBU-AMANTIM,Brong Ahafo
833,PC/GR/WR/0535L,DAVIES PHARMACY GHANA LTD,Wholesale/Retail,GW-0195-8524 - POBIMAN CONTAINER JUNCTION KUNTUNSE,GA WEST,Greater Accra
834,PC/GR/WR/00301,DAVJOEL LIMITED,Wholesale/Retail,"DODOWA NEWTOWN, NEAR AKOTO HOUSE, NEW TOWN
DODOWA",SHAI-OSUDOKU,Greater Accra
835,PC/WR/WR/00021,DAY BY DAY PHARMACY,Wholesale/Retail,"H/NO. 4/1, KITSON AVENUE, TAKORADI TAKORADI",SEKONDI-TAKORADI,Western
836,PC/GR/R/00033,DAYDEN PHARMACY,Retail,F760/3 NEAR LA POLYCLINIC SOUTH LABADI ESTATES ACCRA,LEDZOKUKU-KROWOR,Greater Accra
837,PC/GR/R/0532K,DB & T PHARMACY LTD,Retail,H/NO. 3 PANTANG HOSPITAL STREET - ADENTA,ADENTAN,Greater Accra
838,PC/AS/R/0649L,DE ROYAL CHEMIST LTD,Retail,"PLOT 16, BLOCK B - OHWIM HWIDIEM",,Ashanti
839,PC/AS/R/0296K,DE-ADALE PHARMACY LTD,Retail,"PLOT 53, BLOCK K - WIOWSO, NKUKUA BUOHO PLOT 53,
BLOCK K",AFIGYA-KWABRE,Ashanti
840,PC/AS/R/0562L,DE-ADELE PHARMACY,Retail,"PLOT 10, BLOCK III KENIAKU ROAD - ASAWASI",KMA,Ashanti
841,PC/GR/W/0024L,DE-DEEDS PHARMACY LTD,Wholesale,HIGH TENSION STREET COMMANDO ADENTA,ADENTAN,Greater Accra
842,PC/GR/R/0052P,DE-GEORGES PHARMACY LTD,Retail,H/NO. 33 - COMMUNITY 18 TEMA,,Greater Accra
843,PC/GR/R/0014A,DE-GEORGES PHARMACY LTD.,Retail,"H/NO. C 16/6/13, COMM. 18 RD, BAATSONA, COMM. 16,
TEMA",TMA,Greater Accra
844,PC/AS/R/0108K,DE-LOVE HEALTH SERVICES,Retail,"STORE NO. WF 1 OFF NORTH SUNTRESO ROAD NEAR
EBENEZER METHODIST CHURCH KUMASI",KMA,Ashanti
845,PC/AS/R/0122L,DE-MAKS PHARMACY LTD,Retail,"PLOT 64, BLOCK N OPPOSITE PELICAN MANOR HOTEL
KENTINKRONO NSENIE",KMA,Ashanti
846,PC/GR/R/00130,DE-MENS PHARMACY LIMITED,Retail,"H/NO. 25 CLOSE, SIXTH STREET DANSOMAN ACCRA",AMA,Greater Accra
847,PC/GR/WR/0475K,DEAR PHARMACY,Wholesale/Retail,H/NO. 216 - TABORA LINE ASHAIMAN,ASHIAMAN,Greater Accra
848,PC/ER/R/0107P,DECAVA PHARMACY LTD,Retail,GW-0960-5945 DOBRO ROAD TWENTO PAPASE,NSAWAM ADOAGYIRI,Eastern
849,PC/GR/WR/00037,DECCON PHARMACY,Wholesale/Retail,UNN. STORE OPPOSITE SSNIT FLATS SAKUMONO TEMA,TMA,Greater Accra
850,PC/CR/R/0472L,DECENCY PHARMACY LTD,Retail,H/NO. PV 36 JUKWA ROAD PEDU CAPE COAST,CAPE COAST,Central
851,PC/NR/R/0083G,DECENT PHARMACY,Retail,"H/NO. NY BLOCK E58, NYOHINI DABOYA ROAD TAMALE
TAMALE",TAMALE,Northern
852,PC/GR/WR/0245J,DECENT PHARMACY LTD,Wholesale/Retail,H/NO. B 108/1 RING ROAD ABOSSEY OKAI ACCRA,AMA,Greater Accra
853,PC/AS/R/0170K,DECK STAR PHARMACY,Retail,"PLOT 20, BLOCK X - KWADASO KUMASI",KMA,Ashanti
854,PC/GR/R/0338K,DECLAN PHARMACY,Retail,GS-0622-0897 WEIJA-KASOA MAIN ROAD - GALILEA,GA SOUTH,Greater Accra
855,PC/GR/R/0149F,DEEDOR CARE PHARMACY LTD.,Retail,"SHOP NO. 5, OFANKOR BARRIER, - OFANKOR OFANKOR",GA WEST,Greater Accra
856,PC/GR/R/0417P,DEES PHARMACY LTD,Retail,"H/NO 12, GM-025-0654 PASSION HILL STREET - OGBOJO",LA NKWANTANANG-MADINA,Greater Accra
857,PC/AS/R/0579L,DEJAY PHARMACY LTD,Retail,"PLOT 18, BLOCK AS, ABREPO-ASUBONTENG",KMA,Ashanti
